정본 표기	분류	정의	금지 · 비정본 표기	코드 실재	비고
자원	도메인	프로비저닝에 쓰이는 등록 대상. OS 이미지 · ISO · 메인보드 모델 · BIOS · BMC · RAID 카드 · 드라이버 · 유틸리티. 디스크 파일과 마커가 짝을 이룬다		global/marker/ResourceType, Markable	
마커	도메인	자원 파일 옆에 두는 HMAC 서명 파일(.provision.json). 자원의 신원과 내용 해시를 담아 이동 · 변조를 감지한다		global/marker/ProvisionMarkerService	
드리프트	도메인	DB 기록과 디스크 실물이 어긋난 상태. 12종으로 나뉜다		global/marker/DriftKind	
점검	도메인	디스크를 훑어 드리프트를 찾는 전수 스캔. 일반 점검은 마커 서명만, 정밀 점검은 내용 해시까지 본다	검증(전수 스캔 문맥)	JobType.PATH_RECONCILIATION	Q16 확정
검증	도메인	지정한 자원 하나의 마커 서명 · 해시를 확인하는 일	점검(단일 자원 문맥)	JobType.INTEGRITY_VERIFICATION	Q16 확정
해시	도메인	파일 내용의 지문 값. 무결성 판정의 기준	지문	IntegrityVerificationStage.RECOMPUTE_HASH	추가 확정 — 출현 다수 · 코드 정합
보관	도메인	처리하기 어려운 드리프트를 정한 기간 동안 목록에서 물려 두는 것(코드명 snooze). 그 기간 = 보관 기간		DriftStatus.SNOOZED, SnoozeWindow	Q21 확정 — 휴지통 TTL 과 분리
보존 기간	도메인	휴지통 자원이 자동 영구 삭제되기까지의 기간(TTL)	보존기간, 보관 기간(휴지통 문맥)	TrashSettings	Q21 확정
휴지통	도메인	삭제한 자원을 즉시 지우지 않고 옮겨 두는 곳(.soft-deleted/). 보존 기간이 지나면 자동 영구 삭제		global/trash	
격리	도메인	등록이 중간에 실패한 업로드 파일을 지우지 않고 따로 떼어 두는 것(코드명 quarantine)	오펀, 고아	global/orphan/OrphanQuarantine	추가 확정. 메뉴명 "업로드 실패 복구" 재검토는 S16-2
회수	도메인	서버를 프로비저닝 대상에서 빼는 것(decommission). 이 뜻 전용	격리 · 휴지통 이송 문맥의 "회수"	GuestServerStatus.DECOMMISSIONED	Q21 확정
격리 구역으로 이동	해결 라벨	주인 없는 마커를 격리 구역으로 옮기는 드리프트 해결	격리 구역으로 회수	DriftKind.ORPHAN 해결 라벨	Q21 파생 — 개정 예정(S13)
휴지통으로 이동	해결 라벨	위치를 이탈한 삭제 자원을 휴지통으로 되돌리는 해결	휴지통으로 회수	DriftKind.SOFTDEL_ESCAPE_TO_OTHER 해결 라벨	Q21 파생 — 개정 예정(S13)
